ItemID,Categoria,Subcategoria,Nome,Sinonimos,UsoPratico,Modalidade,Variaveis,FormulaTexto,FormulaLaTeX,CutoffsInterpretacao,TecnicaMedida,Limitacoes,NivelAdocao,FontePrimaria,LinkRadiopaedia,OutrasFontes,Status
THX-0001,B - Tórax,B1 - Derrame Pleural,Pleural Effusion Volume (CT),Effusion volume formula; pleural fluid quantification,Quantificar volume de derrame pleural em TC para avaliar gravidade.,TC,"Profundidade máxima (mm), comprimento máximo (mm), altura (mm)",V (mL) = 0.365×d³ - 4.529×d² + 159.723×d - 88.377 (d em cm),V = 0.365 d^3 - 4.529 d^2 + 159.723 d - 88.377,<500 mL: pequeno; 500-1000 mL: moderado; >1000 mL: volumoso.,Medir profundidade máxima no corte axial. Usar fórmula polinomial Goecke/Hazlinger.,Específica para unilateral; pode subestimar bilateral; afetado por posicionamento.,S,Goecke T Hazlinger B. New formula quantification pleural effusions CT. Eur Radiol. 1999;9(8):1547-1549.,https://radiopaedia.org/articles/pleural-effusion-volume-ultrasound,Alternativa simples: V = d² × l (menos acurada).,OK
THX-0002,B - Tórax,B2 - TEP,RV:LV Ratio,RV/LV ratio; RV dilatation index,Avaliar disfunção ventricular direita em TEP. RV:LV >1.0 associado a pior prognóstico.,TC (CTPA),"Diâmetro RV (mm), diâmetro LV (mm)",RV:LV = d_RV / d_LV (eixo transversal nível 4 câmaras),RV:LV = \frac{d_{RV}}{d_{LV}},<0.9: normal; 0.9-1.0: borderline; >1.0: dilatação RV.,Medir no corte axial nível átrio direito máximo. Eixo transversal não reformatações.,Não prediz mortalidade isoladamente; pode estar elevado em outras condições; variação inter-observador.,R,Qanadli SD et al. New CT index quantify arterial obstruction PE. AJR. 2001;176(6):1415-1420.,https://radiopaedia.org/articles/right-heart-strain,Axial vs reformatado 4-câmaras: ambos acurados.,OK
THX-0003,B - Tórax,B3 - Hipertensão Pulmonar,PA:Aorta Ratio,PA:Ao ratio; mPA diameter ratio,Rastreamento de hipertensão pulmonar. PA:Aorta >0.9 sugere PH.,TC,"Diâmetro PA principal (mm), diâmetro aorta ascendente (mm)",PA:Ao = d_PA / d_Ao (nível bifurcação),PA:Ao = \frac{d_{PA}}{d_{Ao}},<0.9: normal (90º percentil); 0.9-1.0: borderline; >1.0: sugestivo PH. PA >29 mm (H) ou >27 mm (M).,Medir no corte axial bifurcação PA. Medir aorta ascendente mesmo nível.,Não diagnóstico isoladamente; pode estar elevado em outras condições; afetado por posicionamento.,S,Ng CS et al. Effect pulmonary hypertension PA diameter. Chest. 1999;115(3):646-651.,https://radiopaedia.org/articles/pulmonary-hypertension-1,Framingham: PA/Ao 0.91 é 90º percentil.,OK
THX-0004,B - Tórax,B4 - Nódulo Pulmonar,Fleischner Nodule Follow-up 2017,Fleischner 2017; nodule follow-up criteria,Determinar intervalo follow-up nódulos pulmonares incidentais em TC.,TC,"Tamanho nódulo (mm), tipo (sólido/subssólido), risco (baixo/alto)",Intervalo = f(tamanho; tipo; risco),\text{Intervalo} = f(\text{tamanho; tipo; risco}),Sólido <4 mm: sem; 4-6 mm baixo: 12 meses; 6-8 mm: 6-8 sem depois 3-6 meses; >8 mm: PET/CT. Subssólido <6 mm: sem; ≥6 mm: 3-6 meses depois 18-24 meses.,Medir maior diâmetro. Classificar sólido (>-600 HU); subssólido (sólido+vidro fosco); vidro fosco puro.,Baseado em risco estatístico; não diagnóstico; variação inter-observador.,R,MacMahon H et al. Guidelines Management Incidental Pulmonary Nodules CT. Radiology. 2017;284(1):228-243.,https://radiopaedia.org/articles/fleischner-society-pulmonary-nodule-recommendations-1,ACCP guidelines; Lung-RADS para screening.,OK
THX-0005,B - Tórax,B5 - Enfisema,Emphysema Index LAA%,LAA%; -950 HU threshold; emphysema quantification,Quantificar extensão de enfisema em TC. Correlaciona com função pulmonar.,TC,"Número voxels ≤-950 HU, número total voxels pulmão",LAA% = (voxels ≤-950 HU / voxels totais) × 100,LAA\% = \frac{\text{voxels} \leq -950 HU}{\text{voxels totais}} \times 100,<5%: normal; 5-25%: leve; 25-50%: moderado; >50%: grave.,TC baixa dose inspiração completa segmentação automática pulmão threshold -950 HU.,Dependente de técnica TC; afetado por outras doenças; requer software especializado.,S,Gevenois PA et al. Comparison computed density macroscopic morphometry emphysema. AJR. 1995;165(3):553-558.,https://radiopaedia.org/articles/emphysema,RSNA: Quantitative CT Evaluation Emphysema Progression.,OK
THX-0006,B - Tórax,B2 - TEP,PESI Score,Pulmonary Embolism Severity Index; PE severity,Estratificar risco mortalidade 30 dias em TEP. Guia internação vs ambulatorial.,Clínico (com TC),"Idade, sexo, FC, PA sistólica, FR, temperatura, consciência, SaO2, ICC, DPOC",PESI = idade + (10 se M) + (30 se FC≥110) + (20 se PAS<100) + (20 se FR≥30) + (20 se T<36) + (60 se alterado) + (20 ICC) + (10 DPOC),PESI = \sum \text{pontos clínicos},≤65: Classe I (<2% mort); 66-85: II (2-7%); 86-105: III (3-7%); 106-125: IV (4-11%); >125: V (>11%).,Cálculo clínico. TC para confirmar TEP (CTPA).,Baseado em variáveis clínicas não radiológicas. Existe sPESI (simplificada).,R,Aujesky D et al. Derivation validation prognostic model PE. Am J Respir Crit Care Med. 2005;172(8):1041-1046.,https://radiopaedia.org/articles/pulmonary-embolism-severity-index-pesi,MDCalc PESI calculator; sPESI simplificada.,OK
ABD-0001,C - Abdome,C1 - Fígado,Hepatorenal Index,Liver-to-kidney ratio; HRI,Quantificar esteatose hepática em US. HRI >1.5 sugere esteatose >5%.,US,"Atenuação fígado (dB/cm), atenuação rim (dB/cm)",HRI = (A_fígado - A_rim) / A_rim,HRI = \frac{A_{fígado} - A_{rim}}{A_{rim}},<0.5: sem; 0.5-1.5: leve; >1.5: moderada-grave.,ROI ≥1 cm parênquima hepático e cortex renal direita mesmo corte evitar vasos.,Afetado por cirrose fibrose ferro; operador-dependente; equipamento-dependente.,S,Hamaguchi M et al. Severity ultrasonographic findings NAFLD. AJR. 2007;188(6):1490-1496.,https://radiopaedia.org/articles/diffuse-hepatic-steatosis,Alternativa: razão fígado/baço em CT.,OK
ABD-0002,C - Abdome,C2 - Rins,Bosniak Classification 2019,Bosniak 2019; cystic renal mass classification,Classificar cistos renais para determinar risco malignidade e follow-up.,TC; RM,"Presença realce (HU ou sinal), componentes sólidos, septos, calcificação",Classificação baseada em características morfológicas,\text{Categoria} = f(\text{realce; septos; calcificação}),I: simples (<25% sólido sem realce); II: benigno; IIF: intermediário; III: complexo ambíguo; IV: sólido maligno; V: completamente sólido.,TC com contraste (NC+arterial+portal+tardia) ou RM com gadolínio. Realce ≥20 HU.,Baseado em morfologia; não prediz malignidade 100%; sobreposição entre categorias.,R,Silverman SG et al. Management incidental adrenal mass. Radiology. 2019;292(2):251-260.,https://radiopaedia.org/articles/bosniak-classification-of-cystic-renal-masses-version-2019,Versão 1997 referência histórica.,OK
ABD-0003,C - Abdome,C2 - Rins,RENAL Nephrometry Score,RENAL score; nephrometry scoring,Estratificar complexidade anatômica massas renais para decisão cirúrgica.,TC; RM,"Radius (tamanho), Exophytic/Endophytic, Nearness collecting system, Anterior/Posterior, Location polar lines",RENAL = R + E + N + A + L (soma pontos 1-3 cada),RENAL = R + E + N + A + L,4-6: baixa complexidade; 7-9: intermediária; 10-12: alta complexidade.,Medir maior diâmetro lesão. Classificar cada componente (R: <4 cm, 4-7 cm, >7 cm; etc.).,Baseado em anatomia; não prediz oncológico; variação inter-observador.,S,Kutikov A Uzzo RG. R.E.N.A.L. nephrometry score. J Urol. 2009;182(3):844-853.,https://radiopaedia.org/articles/renal-nephrometry-scoring-system-2,PADUA score como alternativa.,OK
ABD-0004,C - Abdome,C2 - Rins,Height-Adjusted TKV,ht-TKV; Mayo imaging classification; ADPKD volume,Estratificar risco progressão DRPAD. ht-TKV elevado prediz progressão rápida.,TC; RM,"Volume renal total (mL), altura (m)",ht-TKV (mL/m) = volume renal total / altura,ht\text{-}TKV = \frac{TKV}{\text{altura (m)}},Mayo Class 1A: <1.5 mL/m (15-39 anos); 1B: 1.5-2.2; 2: 2.2-2.6; 3: 2.6-3.1; 4: >3.1. Prognóstico: 1A/1B lenta; 2/3 intermediária; 4 rápida.,Segmentação manual/automática ambos rins TC/RM. Volume = soma áreas × espessura. Altura em metros.,Requer segmentação precisa; variação inter-observador; afetado por cistos complexos.,S,Irazabal MV et al. Imaging classification ADPKD. J Am Soc Nephrol. 2015;26(1):160-172.,https://radiopaedia.org/articles/adpkd-classification,ADPKD Simulator (adpkdsim.org).,OK
ABD-0005,C - Abdome,C3 - Adrenais,Adrenal Absolute Washout,Absolute washout; AW,Caracterizar adenoma adrenal. Washout >60% sugere adenoma.,TC,"HU fase NC, HU fase portal (60-90 seg), HU fase tardia (15 min)",AW (%) = (HU_portal - HU_tardia) / (HU_portal - HU_NC) × 100,AW = \frac{HU_{portal} - HU_{tardia}}{HU_{portal} - HU_{NC}} \times 100,">60%: adenoma (alta especificidade); 40-60%: borderline; <40%: sugestivo não-adenoma.",ROI ≥1 cm evitando necrose/vasos. Protocolo: NC + portal (60-90 seg) + tardia (15 min).,Pode falhar adenomas lipídicos; afetado por insuficiência renal; requer protocolo específico.,R,Caoili EM et al. Adrenal masses characterization. Radiology. 2002;222(3):629-633.,https://radiopaedia.org/articles/adrenal-washout,Relative washout como alternativa (menos específico).,OK
ABD-0006,C - Abdome,C3 - Adrenais,Adrenal Signal Intensity Index,Chemical shift index; CSI; opposed/in-phase ratio,Detectar gordura em adenomas adrenais por RM. SII >16.5% sugere adenoma.,RM,"Sinal in-phase, sinal opposed-phase",SII (%) = (S_in - S_opp) / S_in × 100,SII = \frac{S_{in} - S_{opp}}{S_{in}} \times 100,">16.5%: adenoma (sensibilidade ~80% especificidade ~95%); <16.5%: não-adenoma.",Sequências T1 in-phase e opposed-phase (TE ~2.3 ms e ~4.6 ms em 1.5T). ROI ≥1 cm evitar artefatos.,Requer sequências específicas; afetado por ruído; pode falhar adenomas sem gordura.,S,Halefoglu AM Baskan O. Diffusion-weighted MR imaging adrenal masses. Diagn Interv Radiol. 2012;18(1):99-105.,https://radiopaedia.org/articles/adrenal-adenoma,Razão adrenal/baço como alternativa.,OK
ABD-0007,C - Abdome,C1 - Fígado,LI-RADS Threshold Growth,Threshold growth; LI-RADS major feature,Identificar crescimento rápido nódulo hepático em cirrose sugestivo HCC.,TC; RM,"Diâmetro anterior (mm), diâmetro atual (mm), intervalo tempo (meses)",% crescimento = (d_atual - d_anterior) / d_anterior × 100,\% \text{ crescimento} = \frac{d_{atual} - d_{anterior}}{d_{anterior}} \times 100,≥50% em ≤6 meses: threshold growth (major feature LI-RADS). Contribui para LR-4 ou LR-5.,Medir maior diâmetro nódulo em ambos exames mesmo plano quando possível.,Requer exames comparativos; variação inter-observador; afetado por posicionamento.,R,Chernyak V et al. Liver Imaging Reporting Data System v2018. Radiology. 2018;289(3):816-830.,https://radiopaedia.org/articles/ctmri-li-rads,Definição LI-RADS v2018: ≥50% aumento diâmetro em ≤6 meses.,OK
ABD-0008,D - Pâncreas,D1 - Pancreatite Aguda,Modified CT Severity Index,Mortele MCTSI; modified CTSI,Estratificar gravidade pancreatite aguda. Prediz mortalidade e complicações.,TC,"Grau inflamação pancreática (Balthazar A-E), percentual necrose pancreática (%)",MCTSI = pontos inflamação + pontos necrose (máximo 10),MCTSI = P_{inf} + P_{nec},0-2: leve; 4-6: moderado; 8-10: grave. Mortalidade: leve ~0%; moderado ~3%; grave ~17%.,TC com contraste fase portal. Classificar inflamação (A=0 B=1 C=2 D=3 E=4) e necrose (0% 2; 1-30% 2; >30% 4).,Baseado em achados TC; pode subestimar fase precoce; afetado por técnica aquisição.,R,Mortele KJ et al. Modified Marshall score assessing severity acute pancreatitis. AJR. 2004;183(6):1519-1524.,https://radiopaedia.org/articles/modified-ct-severity-index-pancreatitis,CTSI original (Balthazar + necrose).,OK
ABD-0009,D - Pâncreas,D2 - Pâncreas Crônico,Pancreatic Duct Diameter,Main pancreatic duct diameter; MPD,Avaliar dilatação ductal em pancreatite crônica ou malignidade.,TC; RM; US,Diâmetro ducto pancreático principal (mm),Valores referência por localização,\text{Diâmetro normal} = \begin{cases} 3-4 \text{ mm} & \text{cabeça} \\ 2-3 \text{ mm} & \text{corpo} \\ 1-2 \text{ mm} & \text{cauda} \end{cases},Cabeça: <3 mm normal; 3-5 mm borderline; >5 mm dilatado. Corpo: <2 mm normal; 2-3 mm borderline; >3 mm dilatado.,Medir eixo transversal maior diâmetro. RM (MRCP) mais sensível que TC.,Pode variar com idade; afetado por posicionamento; dilatação fisiológica pós-prandial.,R,Elgasim M et al. Pancreatic duct imaging aging. Endosc Ultrasound. 2023;12(2):118-125.,https://radiopaedia.org/articles/pancreatic-duct-diameter,Valores variam ligeiramente entre estudos (1-3.5 mm).,OK
ABD-0010,E - Baço,E1 - Volume Esplênico,Splenic Volume Ellipsoid,Spleen volume; splenic index,Quantificar tamanho esplênico. Volume >200 mL (adulto) sugere esplenomegalia.,TC; RM; US,"Comprimento L (cm), largura W (cm), espessura H (cm)",V (mL) = L × W × H × 0.52,V = L \times W \times H \times 0.52,<150 mL: normal; 150-200 mL: borderline; 200-400 mL: leve; >400 mL: moderada-grave.,Medir eixo transversal e longitudinal. Usar maior diâmetro cada dimensão.,Fórmula assume elipsoide; pode subestimar irregulares; afetado por posicionamento.,R,Bezerra AS et al. Determination splenomegaly CT ultrasound volumetry. Eur J Radiol. 2004;53(2):268-274.,https://radiopaedia.org/articles/splenomegaly,Splenic index (W × T × H) como alternativa.,OK
URO-0001,F - Uro/Rim,F1 - Próstata,Prostate Volume Ellipsoid,Prostate volume; PV,Quantificar tamanho prostático. Importante para PSA density e decisão terapêutica.,TRUS; RM,"Comprimento L (cm), largura W (cm), altura H (cm)",V (mL) = L × W × H × π/6,V = L \times W \times H \times \frac{\pi}{6},<25 mL: normal; 25-50 mL: hiperplasia leve; 50-100 mL: moderada; >100 mL: grave.,TRUS: medir eixo transversal (W H) e sagital (L). RM: T2 sagital e transversal.,Fórmula assume elipsoide; variação inter-observador; afetado por posicionamento.,R,Roehrborn CG et al. Efficacy safety dual inhibitor 5-alpha reductase. J Urol. 2002;169(6):2399-2405.,https://radiopaedia.org/articles/benign-prostatic-hyperplasia,Cálculo PSA density: PSA (ng/mL) / volume (mL).,OK
URO-0002,F - Uro/Rim,F1 - Próstata,PI-RADS v2.1 Score,Prostate Imaging Reporting Data System; PI-RADS,Estratificar risco câncer próstata clinicamente significativo em RM. Guia biopsia.,RM,"Achados T2, DWI, DCE (qualitativo e semi-quantitativo)",Classificação baseada em achados multiparamétricos,PI\text{-}RADS = f(T2; DWI; DCE),1: muito baixo (<5% câncer clinicamente significativo); 2: baixo (5-10%); 3: intermediário (10-25%); 4: alto (25-75%); 5: muito alto (>75%).,RM 1.5T ou 3T sequências T2 DWI (b=0 800-1000) DCE. Avaliação zona periférica transição central.,Operador-dependente; requer expertise radiológica; variação inter-observador.,R,Turkbey B et al. Prostate Imaging Reporting Data System v2.1. Eur Urol. 2019;76(3):340-351.,https://radiopaedia.org/articles/prostate-imaging-reporting-and-data-system-pi-rads-2,PI-RADS v2.0 versão anterior.,OK
GIN-0001,G - Gineco/Obstetrícia,G1 - Biometria Fetal,Hadlock EFW Formula,Hadlock formula; fetal weight estimation,Estimar peso fetal em US/RM. Múltiplas equações Hadlock acurácia ±10-15%.,US; RM,"Circunferência abdominal AC (cm), comprimento fêmur FL (cm), diâmetro biparietal BPD (cm), circunferência cefálica HC (cm)",Hadlock 1: Log10(peso) = 1.304 + 0.05281×AC + 0.1938×FL - 0.004×AC×FL,\log_{10}(W) = 1.304 + 0.05281 \times AC + 0.1938 \times FL - 0.004 \times AC \times FL,Resultado em gramas. Acurácia ±10-15% terceiro trimestre.,US: medições padrão planos específicos. RM: medições T2 HASTE.,Múltiplas equações Hadlock com resultados ligeiramente diferentes; acurácia reduzida extremos peso.,R,Hadlock FP et al. In utero analysis fetal weight estimation birth weight. Obstet Gynecol. 1991;77(5):662-667.,https://radiopaedia.org/articles/fetal-biometry,Equações Shepard Campbell Warsof como alternativas.,OK
GIN-0002,G - Gineco/Obstetrícia,G2 - Ovário,Ovarian Volume Ellipsoid,Ovary volume; ovarian volume,Quantificar tamanho ovariano. Volume >12 mL sugere SOP ou patologias.,US; RM,"Comprimento L (cm), largura W (cm), espessura H (cm)",V (mL) = L × W × H × 0.52,V = L \times W \times H \times 0.52,<9 mL: normal; 9-12 mL: borderline; >12 mL: aumentado (SOP se bilateral múltiplos folículos).,US: medir eixo transversal e longitudinal. RM: T2 três planos.,Fórmula assume elipsoide; variação ciclo menstrual; afetado por posicionamento.,R,Amer SA et al. Ovarian volume women polycystic ovaries. Hum Reprod. 2004;19(1):122-126.,https://radiopaedia.org/articles/polycystic-ovary-syndrome,O-RADS para classificação lesões ovarianas.,OK
GIN-0003,G - Gineco/Obstetrícia,G3 - Adnexo,O-RADS US,Ovarian-Adnexal Reporting Data System; ovarian lesion classification,Classificar lesões ovarianas/adnexais por US. Determina risco malignidade e follow-up.,US,Características morfológicas (tamanho composição vascularização etc),Classificação baseada em características ultrassonográficas,O\text{-}RADS = f(\text{características US}),O-RADS 1: benigno (<1% risco); 2: benigno (1-2%); 3: benigno (2-5%); 4: intermediário (5-50%); 5: maligno (>50%).,US transvaginal (preferido) e transabdominal. Avaliação composição vascularização tamanho.,Operador-dependente; requer expertise ultrassonográfica; variação inter-observador.,R,Amor F et al. Differentiate benign malignant ovarian masses. Ultrasound Obstet Gynecol. 2002;20(5):467-472.,https://radiopaedia.org/articles/ovarian-adnexal-reporting-and-data-system-ultrasound-o-rads-us,O-RADS MRI para lesões complexas.,OK
TIR-0001,H - Tireoide,H1 - Nódulo Tireoidiano,ACR TI-RADS,TI-RADS; thyroid nodule classification,Classificar nódulos tireoidianos por US. Determina necessidade e tamanho cutoff PAAF.,US,Composição ecogenicidade forma margens ecogenicidade tamanho,Classificação baseada em pontos,TR = f(\text{características ultrassonográficas}),TR1: 0 pontos (<1% risco); TR2: 1-2 pontos (1-3%); TR3: 3 pontos (10-20%); TR4: 4-5 pontos (20-50%); TR5: ≥6 pontos (>50%).,US tempo real avaliação cada característica (composição ecogenicidade forma margens focos ecogênicos).,Operador-dependente; requer expertise ultrassonográfica; variação inter-observador.,R,Tessler FN et al. ACR Thyroid Nodule Imaging Reporting Data System. J Am Coll Radiol. 2017;14(5):587-595.,https://radiopaedia.org/articles/acr-thyroid-imaging-reporting-and-data-system-acr-ti-rads,EU-TIRADS como sistema europeu alternativo.,OK
TIR-0002,H - Tireoide,H2 - Tireoide,Thyroid Volume Ellipsoid,Thyroid volume; gland volume,Quantificar tamanho tireoidiano. Volume >18 mL (mulher) ou >25 mL (homem) sugere bócio.,US; TC; RM,"Comprimento lobo direito (cm), largura lobo direito (cm), espessura lobo direito (cm), e idem lobo esquerdo",V_thyroid = (L×W×H×0.52) lobo direito + (L×W×H×0.52) lobo esquerdo + V_istmo,V_{thyroid} = V_{RD} + V_{LD} + V_{isthmus},Mulher: <18 mL normal; 18-25 mL borderline; >25 mL bócio. Homem: <25 mL normal; 25-35 mL borderline; >35 mL bócio.,US: medir cada lobo eixo transversal e longitudinal. Incluir istmo.,Fórmula assume elipsoide; variação inter-observador; afetado por posicionamento.,R,Knobel M Medeiros-Neto G. Outline inherited disorders thyroid hormone pathway. Thyroid. 2003;13(8):771-801.,https://radiopaedia.org/articles/thyroid-volume,Valores variam por idade sexo e ingestão iodo.,OK
